sid,symbol,name,c_name,localSymbol,exchange,currency,gateway,secType
422,000422,湖北宜化,农药化肥,000422,szse,CNY,STOCK,STK
423,000423,东阿阿胶,生物制药,000423,szse,CNY,STOCK,STK
425,000425,徐工机械,机械行业,000425,szse,CNY,STOCK,STK
426,000426,兴业矿业,有色金属,000426,szse,CNY,STOCK,STK
428,000428,华天酒店,酒店旅游,000428,szse,CNY,STOCK,STK
429,000429,粤高速Ａ,公路桥梁,000429,szse,CNY,STOCK,STK
430,000430,张家界,酒店旅游,000430,szse,CNY,STOCK,STK
488,000488,晨鸣纸业,造纸行业,000488,szse,CNY,STOCK,STK
498,000498,山东路桥,建筑建材,000498,szse,CNY,STOCK,STK
501,000501,鄂武商Ａ,商业百货,000501,szse,CNY,STOCK,STK
502,000502,绿景控股,房地产,000502,szse,CNY,STOCK,STK
503,000503,海虹控股,电子信息,000503,szse,CNY,STOCK,STK
504,000504,*ST生物,传媒娱乐,000504,szse,CNY,STOCK,STK
505,000505,*ST珠江,房地产,000505,szse,CNY,STOCK,STK
506,000506,中润资源,房地产,000506,szse,CNY,STOCK,STK
507,000507,珠海港,交通运输,000507,szse,CNY,STOCK,STK
509,000509,华塑控股,建筑建材,000509,szse,CNY,STOCK,STK
510,000510,金路集团,化工行业,000510,szse,CNY,STOCK,STK
511,000511,*ST烯碳,其它行业,000511,szse,CNY,STOCK,STK
513,000513,丽珠集团,生物制药,000513,szse,CNY,STOCK,STK
514,000514,渝 开 发,房地产,000514,szse,CNY,STOCK,STK
516,000516,国际医学,商业百货,000516,szse,CNY,STOCK,STK
517,000517,荣安地产,房地产,000517,szse,CNY,STOCK,STK
518,000518,四环生物,生物制药,000518,szse,CNY,STOCK,STK
519,000519,中兵红箭,机械行业,000519,szse,CNY,STOCK,STK
520,000520,长航凤凰,交通运输,000520,szse,CNY,STOCK,STK
521,000521,美菱电器,家电行业,000521,szse,CNY,STOCK,STK
523,000523,广州浪奇,化工行业,000523,szse,CNY,STOCK,STK
524,000524,岭南控股,酒店旅游,000524,szse,CNY,STOCK,STK
525,000525,红 太 阳,农药化肥,000525,szse,CNY,STOCK,STK
526,000526,紫光学大,房地产,000526,szse,CNY,STOCK,STK
528,000528,柳 工,机械行业,000528,szse,CNY,STOCK,STK
529,000529,广弘控股,食品行业,000529,szse,CNY,STOCK,STK
530,000530,大冷股份,机械行业,000530,szse,CNY,STOCK,STK
531,000531,穗恒运Ａ,电力行业,000531,szse,CNY,STOCK,STK
532,000532,力合股份,电子信息,000532,szse,CNY,STOCK,STK
533,000533,万 家 乐,家电行业,000533,szse,CNY,STOCK,STK
534,000534,万泽股份,房地产,000534,szse,CNY,STOCK,STK
536,000536,华映科技,电子器件,000536,szse,CNY,STOCK,STK
537,000537,广宇发展,房地产,000537,szse,CNY,STOCK,STK
538,000538,云南白药,生物制药,000538,szse,CNY,STOCK,STK
539,000539,粤电力Ａ,电力行业,000539,szse,CNY,STOCK,STK
540,000540,中天城投,房地产,000540,szse,CNY,STOCK,STK
541,000541,佛山照明,家电行业,000541,szse,CNY,STOCK,STK
543,000543,皖能电力,电力行业,000543,szse,CNY,STOCK,STK
544,000544,中原环保,环保行业,000544,szse,CNY,STOCK,STK
545,000545,金浦钛业,化工行业,000545,szse,CNY,STOCK,STK
546,000546,金圆股份,水泥行业,000546,szse,CNY,STOCK,STK
547,000547,航天发展,电子信息,000547,szse,CNY,STOCK,STK
548,000548,湖南投资,公路桥梁,000548,szse,CNY,STOCK,STK
550,000550,江铃汽车,汽车制造,000550,szse,CNY,STOCK,STK
551,000551,创元科技,机械行业,000551,szse,CNY,STOCK,STK
552,000552,靖远煤电,煤炭行业,000552,szse,CNY,STOCK,STK
553,000553,沙隆达Ａ,农药化肥,000553,szse,CNY,STOCK,STK
554,000554,泰山石油,石油行业,000554,szse,CNY,STOCK,STK
555,000555,神州信息,电子信息,000555,szse,CNY,STOCK,STK
557,000557,西部创业,酿酒行业,000557,szse,CNY,STOCK,STK
558,000558,莱茵体育,房地产,000558,szse,CNY,STOCK,STK
559,000559,万向钱潮,汽车制造,000559,szse,CNY,STOCK,STK
560,000560,昆百大Ａ,商业百货,000560,szse,CNY,STOCK,STK
561,000561,烽火电子,电子信息,000561,szse,CNY,STOCK,STK
563,000563,陕国投Ａ,金融行业,000563,szse,CNY,STOCK,STK
564,000564,供销大集,商业百货,000564,szse,CNY,STOCK,STK
565,000565,渝三峡Ａ,化工行业,000565,szse,CNY,STOCK,STK
566,000566,海南海药,生物制药,000566,szse,CNY,STOCK,STK
567,000567,海德股份,房地产,000567,szse,CNY,STOCK,STK
568,000568,泸州老窖,酿酒行业,000568,szse,CNY,STOCK,STK
570,000570,苏常柴Ａ,机械行业,000570,szse,CNY,STOCK,STK
571,000571,新大洲Ａ,煤炭行业,000571,szse,CNY,STOCK,STK
572,000572,海马汽车,汽车制造,000572,szse,CNY,STOCK,STK
573,000573,粤宏远Ａ,房地产,000573,szse,CNY,STOCK,STK
576,000576,广东甘化,综合行业,000576,szse,CNY,STOCK,STK
581,000581,威孚高科,汽车制造,000581,szse,CNY,STOCK,STK
582,000582,北部湾港,交通运输,000582,szse,CNY,STOCK,STK
584,000584,友利控股,化纤行业,000584,szse,CNY,STOCK,STK
585,000585,东北电气,发电设备,000585,szse,CNY,STOCK,STK
586,000586,汇源通信,电子信息,000586,szse,CNY,STOCK,STK
587,000587,金洲慈航,有色金属,000587,szse,CNY,STOCK,STK
587,000587,金洲慈航,商业百货,000587,szse,CNY,STOCK,STK
589,000589,黔轮胎Ａ,汽车制造,000589,szse,CNY,STOCK,STK
590,000590,启迪古汉,生物制药,000590,szse,CNY,STOCK,STK
591,000591,太阳能,商业百货,000591,szse,CNY,STOCK,STK
592,000592,平潭发展,农林牧渔,000592,szse,CNY,STOCK,STK
593,000593,大通燃气,供水供气,000593,szse,CNY,STOCK,STK
595,000595,宝塔实业,机械行业,000595,szse,CNY,STOCK,STK
596,000596,古井贡酒,酿酒行业,000596,szse,CNY,STOCK,STK
597,000597,东北制药,生物制药,000597,szse,CNY,STOCK,STK
598,000598,兴蓉环境,环保行业,000598,szse,CNY,STOCK,STK
599,000599,青岛双星,汽车制造,000599,szse,CNY,STOCK,STK
600,000600,建投能源,电力行业,000600,szse,CNY,STOCK,STK
601,000601,韶能股份,电力行业,000601,szse,CNY,STOCK,STK
603,000603,盛达矿业,有色金属,000603,szse,CNY,STOCK,STK
605,000605,渤海股份,供水供气,000605,szse,CNY,STOCK,STK
606,000606,神州易桥,生物制药,000606,szse,CNY,STOCK,STK
607,000607,华媒控股,传媒娱乐,000607,szse,CNY,STOCK,STK
608,000608,阳光股份,房地产,000608,szse,CNY,STOCK,STK
609,000609,绵石投资,房地产,000609,szse,CNY,STOCK,STK
610,000610,西安旅游,酒店旅游,000610,szse,CNY,STOCK,STK
611,000611,*ST天首,纺织行业,000611,szse,CNY,STOCK,STK
612,000612,焦作万方,有色金属,000612,szse,CNY,STOCK,STK
613,000613,大东海A,酒店旅游,000613,szse,CNY,STOCK,STK
615,000615,京汉股份,化纤行业,000615,szse,CNY,STOCK,STK
616,000616,海航投资,房地产,000616,szse,CNY,STOCK,STK
617,000617,中油资本,机械行业,000617,szse,CNY,STOCK,STK
619,000619,海螺型材,建筑建材,000619,szse,CNY,STOCK,STK
620,000620,新华联,房地产,000620,szse,CNY,STOCK,STK
622,000622,*ST恒立,汽车制造,000622,szse,CNY,STOCK,STK
623,000623,吉林敖东,生物制药,000623,szse,CNY,STOCK,STK
625,000625,长安汽车,汽车制造,000625,szse,CNY,STOCK,STK
626,000626,远大控股,物资外贸,000626,szse,CNY,STOCK,STK
627,000627,天茂集团,化工行业,000627,szse,CNY,STOCK,STK
628,000628,高新发展,开发区,000628,szse,CNY,STOCK,STK
629,000629,*ST钒钛,钢铁行业,000629,szse,CNY,STOCK,STK
630,000630,铜陵有色,有色金属,000630,szse,CNY,STOCK,STK
631,000631,顺发恒业,房地产,000631,szse,CNY,STOCK,STK
632,000632,三木集团,综合行业,000632,szse,CNY,STOCK,STK
633,000633,*ST合金,综合行业,000633,szse,CNY,STOCK,STK
635,000635,英 力 特,化工行业,000635,szse,CNY,STOCK,STK
636,000636,风华高科,电子器件,000636,szse,CNY,STOCK,STK
637,000637,茂化实华,石油行业,000637,szse,CNY,STOCK,STK
638,000638,万方发展,商业百货,000638,szse,CNY,STOCK,STK
639,000639,西王食品,食品行业,000639,szse,CNY,STOCK,STK
650,000650,仁和药业,生物制药,000650,szse,CNY,STOCK,STK
651,000651,格力电器,家电行业,000651,szse,CNY,STOCK,STK
652,000652,泰达股份,综合行业,000652,szse,CNY,STOCK,STK
655,000655,金岭矿业,钢铁行业,000655,szse,CNY,STOCK,STK
656,000656,金科股份,房地产,000656,szse,CNY,STOCK,STK
657,000657,中钨高新,有色金属,000657,szse,CNY,STOCK,STK
659,000659,珠海中富,印刷包装,000659,szse,CNY,STOCK,STK
661,000661,长春高新,生物制药,000661,szse,CNY,STOCK,STK
662,000662,天夏智慧,化工行业,000662,szse,CNY,STOCK,STK
663,000663,永安林业,农林牧渔,000663,szse,CNY,STOCK,STK
665,000665,湖北广电,传媒娱乐,000665,szse,CNY,STOCK,STK
666,000666,经纬纺机,纺织机械,000666,szse,CNY,STOCK,STK
667,000667,美好置业,房地产,000667,szse,CNY,STOCK,STK
668,000668,荣丰控股,房地产,000668,szse,CNY,STOCK,STK
669,000669,金鸿能源,供水供气,000669,szse,CNY,STOCK,STK
670,000670,*ST盈方,电子器件,000670,szse,CNY,STOCK,STK
671,000671,阳 光 城,房地产,000671,szse,CNY,STOCK,STK
672,000672,上峰水泥,水泥行业,000672,szse,CNY,STOCK,STK
673,000673,当代东方,印刷包装,000673,szse,CNY,STOCK,STK
676,000676,智度股份,仪器仪表,000676,szse,CNY,STOCK,STK
677,000677,恒天海龙,化纤行业,000677,szse,CNY,STOCK,STK
678,000678,襄阳轴承,机械行业,000678,szse,CNY,STOCK,STK
679,000679,大连友谊,商业百货,000679,szse,CNY,STOCK,STK
680,000680,山推股份,机械行业,000680,szse,CNY,STOCK,STK
681,000681,视觉中国,电子信息,000681,szse,CNY,STOCK,STK
682,000682,东方电子,发电设备,000682,szse,CNY,STOCK,STK
683,000683,远兴能源,化工行业,000683,szse,CNY,STOCK,STK
685,000685,中山公用,供水供气,000685,szse,CNY,STOCK,STK
686,000686,东北证券,金融行业,000686,szse,CNY,STOCK,STK
687,000687,华讯方舟,化纤行业,000687,szse,CNY,STOCK,STK
690,000690,宝新能源,电力行业,000690,szse,CNY,STOCK,STK
691,000691,ST亚太,房地产,000691,szse,CNY,STOCK,STK
692,000692,惠天热电,供水供气,000692,szse,CNY,STOCK,STK
695,000695,滨海能源,供水供气,000695,szse,CNY,STOCK,STK
697,000697,炼石有色,有色金属,000697,szse,CNY,STOCK,STK
698,000698,沈阳化工,化工行业,000698,szse,CNY,STOCK,STK
700,000700,模塑科技,汽车制造,000700,szse,CNY,STOCK,STK
701,000701,厦门信达,综合行业,000701,szse,CNY,STOCK,STK
702,000702,正虹科技,农林牧渔,000702,szse,CNY,STOCK,STK
703,000703,恒逸石化,化纤行业,000703,szse,CNY,STOCK,STK
705,000705,浙江震元,商业百货,000705,szse,CNY,STOCK,STK
707,000707,双环科技,化工行业,000707,szse,CNY,STOCK,STK
708,000708,大冶特钢,钢铁行业,000708,szse,CNY,STOCK,STK
709,000709,河钢股份,钢铁行业,000709,szse,CNY,STOCK,STK
710,000710,*ST天仪,汽车制造,000710,szse,CNY,STOCK,STK
711,000711,京蓝科技,电子信息,000711,szse,CNY,STOCK,STK
712,000712,锦龙股份,金融行业,000712,szse,CNY,STOCK,STK
713,000713,丰乐种业,农林牧渔,000713,szse,CNY,STOCK,STK
715,000715,中兴商业,商业百货,000715,szse,CNY,STOCK,STK
716,000716,黑芝麻,食品行业,000716,szse,CNY,STOCK,STK
717,000717,*ST韶钢,钢铁行业,000717,szse,CNY,STOCK,STK
718,000718,苏宁环球,房地产,000718,szse,CNY,STOCK,STK
719,000719,大地传媒,传媒娱乐,000719,szse,CNY,STOCK,STK
720,000720,新能泰山,电力行业,000720,szse,CNY,STOCK,STK
721,000721,西安饮食,酒店旅游,000721,szse,CNY,STOCK,STK
722,000722,湖南发展,电力行业,000722,szse,CNY,STOCK,STK
723,000723,美锦能源,煤炭行业,000723,szse,CNY,STOCK,STK
725,000725,京东方Ａ,电子器件,000725,szse,CNY,STOCK,STK
726,000726,鲁 泰Ａ,纺织行业,000726,szse,CNY,STOCK,STK
727,000727,华东科技,电子器件,000727,szse,CNY,STOCK,STK
728,000728,国元证券,金融行业,000728,szse,CNY,STOCK,STK
729,000729,燕京啤酒,酿酒行业,000729,szse,CNY,STOCK,STK
731,000731,四川美丰,农药化肥,000731,szse,CNY,STOCK,STK
732,000732,泰禾集团,房地产,000732,szse,CNY,STOCK,STK
733,000733,振华科技,电子器件,000733,szse,CNY,STOCK,STK
735,000735,罗 牛 山,农林牧渔,000735,szse,CNY,STOCK,STK
736,000736,中房地产,房地产,000736,szse,CNY,STOCK,STK
737,000737,南风化工,化工行业,000737,szse,CNY,STOCK,STK
738,000738,中航动控,飞机制造,000738,szse,CNY,STOCK,STK
739,000739,普洛药业,生物制药,000739,szse,CNY,STOCK,STK
748,000748,长城信息,电子信息,000748,szse,CNY,STOCK,STK
750,000750,国海证券,金融行业,000750,szse,CNY,STOCK,STK
751,000751,锌业股份,有色金属,000751,szse,CNY,STOCK,STK
752,000752,西藏发展,酿酒行业,000752,szse,CNY,STOCK,STK
753,000753,漳州发展,汽车制造,000753,szse,CNY,STOCK,STK
755,000755,山西三维,化工行业,000755,szse,CNY,STOCK,STK
756,000756,新华制药,生物制药,000756,szse,CNY,STOCK,STK
757,000757,浩物股份,汽车制造,000757,szse,CNY,STOCK,STK
758,000758,中色股份,有色金属,000758,szse,CNY,STOCK,STK
759,000759,中百集团,商业百货,000759,szse,CNY,STOCK,STK
760,000760,斯太尔,汽车制造,000760,szse,CNY,STOCK,STK
761,000761,本钢板材,钢铁行业,000761,szse,CNY,STOCK,STK
762,000762,西藏矿业,有色金属,000762,szse,CNY,STOCK,STK
766,000766,通化金马,生物制药,000766,szse,CNY,STOCK,STK
767,000767,漳泽电力,电力行业,000767,szse,CNY,STOCK,STK
768,000768,中航飞机,飞机制造,000768,szse,CNY,STOCK,STK
776,000776,广发证券,金融行业,000776,szse,CNY,STOCK,STK
777,000777,中核科技,机械行业,000777,szse,CNY,STOCK,STK
778,000778,新兴铸管,钢铁行业,000778,szse,CNY,STOCK,STK
779,000779,三毛派神,纺织行业,000779,szse,CNY,STOCK,STK
780,000780,平庄能源,煤炭行业,000780,szse,CNY,STOCK,STK
782,000782,美达股份,化纤行业,000782,szse,CNY,STOCK,STK
783,000783,长江证券,金融行业,000783,szse,CNY,STOCK,STK
785,000785,武汉中商,商业百货,000785,szse,CNY,STOCK,STK
786,000786,北新建材,建筑建材,000786,szse,CNY,STOCK,STK
788,000788,北大医药,生物制药,000788,szse,CNY,STOCK,STK
789,000789,万年青,水泥行业,000789,szse,CNY,STOCK,STK
